"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ISRG","Intuitive Surgical, Inc.","497.83","$57.38B","2000","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/isrg",
"PLW","Invesco 1-30 Laddered Treasury ETF","36.01","$171.05M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/plw",
"ADRA","Invesco BLDRS Asia 50 ADR Index Fund","30.061","$16.53M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adra",
"ADRD","Invesco BLDRS Developed Markets 100 ADR Index Fund","20.4508","$30.68M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adrd",
"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","38.1","$125.73M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adre",
"ADRU","Invesco BLDRS Europe Select ADR Index Fund","19.95","$10.97M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adru",
"PKW","Invesco BuyBack Achievers ETF","60.63","$1.11B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pkw",
"PFM","Invesco Dividend Achievers ETF","28.86","$297.26M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pfm",
"PYZ","Invesco DWA Basic Materials Momentum ETF","55.74","$52.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pyz",
"PEZ","Invesco DWA Consumer Cyclicals Momentum ETF","54.51","$32.71M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pez",
"PSL","Invesco DWA Consumer Staples Momentum ETF","75.07","$165.15M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psl",
"PIZ","Invesco DWA Developed Markets Momentum ETF","26.5","$176.23M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/piz",
"PIE","Invesco DWA Emerging Markets Momentum ETF","17.31","$162.71M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pie",
"PXI","Invesco DWA Energy Momentum ETF","25.12","$33.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pxi",
"PFI","Invesco DWA Financial Momentum ETF","37.72","$71.67M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pfi",
"PTH","Invesco DWA Healthcare Momentum ETF","87.4401","$139.9M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pth",
"PRN","Invesco DWA Industrials Momentum ETF","67.96","$108.74M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/prn",
"PDP","Invesco DWA Momentum ETF","62.01","$1.53B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pdp",
"DWAQ","Invesco DWA NASDAQ Momentum ETF","118.4733","$47.39M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwaq",
"DWAS","Invesco DWA SmallCap Momentum ETF","53.86","$266.61M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwas",
"DWIN","Invesco DWA Tactical Multi-Asset Income ETF","25.6569","$39.77M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwin",
"DWTR","Invesco DWA Tactical Sector Rotation ETF","32.5321","$68.32M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwtr",
"PTF","Invesco DWA Technology Momentum ETF","78.19","$258.03M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ptf",
"PUI","Invesco DWA Utilities Momentum ETF","33.7532","$236.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pui",
"IDLB","Invesco FTSE International Low Beta Equal Weight ETF","26.838","$61.73M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/idlb",
"PRFZ","Invesco FTSE RAFI US 1500 Small-Mid ETF","122.5924","$1.92B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/prfz",
"PIO","Invesco Global Water ETF","27.35","$187.35M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pio",
"PGJ","Invesco Golden Dragon China ETF","36.39","$181.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pgj",
"PEY","Invesco High Yield Equity Dividend Achievers ETF","17.54","$827.89M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pey",
"IPKW","Invesco International BuyBack Achievers ETF","29.32","$148.08M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ipkw",
"PID","Invesco International Dividend Achievers ETF","15.39","$715.64M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pid",
"KBWB","Invesco KBW Bank ETF","47.07","$487.17M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwb",
"KBWD","Invesco KBW High Dividend Yield Financial ETF","20.3","$279.13M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwd",
"KBWY","Invesco KBW Premium Yield Equity REIT ETF","28.95","$315.56M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwy",
"KBWP","Invesco KBW Property & Casualty Insurance ETF","71.4704","$107.21M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwp",
"KBWR","Invesco KBW Regional Banking ETF","47.48","$68.85M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/kbwr",
"LDRI","Invesco LadderRite 0-5 Year Corporate Bond ETF","25.3477","$10.14M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ldri",
"PNQI","Invesco Nasdaq Internet ETF","135.18","$547.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pnqi",
"PDBC","Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET","15.51","$1.49B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pdbc",
"QQQ","Invesco QQQ Trust, Series 1","186.97","$72.04B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/qqq",
"ISDX","Invesco RAFI Strategic Developed ex-US ETF","23.6261","$231.54M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/isdx",
"ISDS","Invesco RAFI Strategic Developed ex-US Small Company ETF","21.55","$14.01M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/isds",
"ISEM","Invesco RAFI Strategic Emerging Markets ETF","24.069","$25.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/isem",
"IUS","Invesco RAFI Strategic US ETF","24.79","$115.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ius",
"IUSS","Invesco RAFI Strategic US Small Company ETF","22.425","$24.67M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iuss",
"USLB","Invesco Russell 1000 Low Beta Equal Weight ETF","32.99","$113.81M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/uslb",
"PSCD","Invesco S&P SmallCap Consumer Discretionary ETF","56.5785","$22.63M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscd",
"PSCC","Invesco S&P SmallCap Consumer Staples ETF","72.2967","$46.99M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscc",
"PSCE","Invesco S&P SmallCap Energy ETF","7.15","$20.02M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psce",
"PSCF","Invesco S&P SmallCap Financials ETF","53.11","$127.46M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscf",
"PSCH","Invesco S&P SmallCap Health Care ETF","115.77","$474.66M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psch",
"PSCI","Invesco S&P SmallCap Industrials ETF","63.98","$57.58M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psci",
"PSCT","Invesco S&P SmallCap Information Technology ETF","83.5154","$304.83M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/psct",
"PSCM","Invesco S&P SmallCap Materials ETF","41.4","$14.49M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscm",
"PSCU","Invesco S&P SmallCap Utilities & Communication Services ETF","52.1","$49.5M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pscu",
"VRIG","Invesco Variable Rate Investment Grade ETF","24.8592","$392.78M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vrig",
"PHO","Invesco Water Resources ETF","35.86","$986.15M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pho",
"ISTR","Investar Holding Corporation","23.2","$230.61M","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/istr",
"ISBC","Investors Bancorp, Inc.","11.06","$3.06B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/isbc",
"ITIC","Investors Title Company","140","$264.42M","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/itic",
"NVIV","InVivo Therapeutics Holdings Corp.","0.6","$5.59M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/nviv",
"IONS","Ionis Pharmaceuticals, Inc.","70.98","$9.97B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ions",
"IOVA","Iovance Biotherapeutics, Inc.","19.7","$2.44B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/iova",
"IPGP","IPG Photonics Corporation","123.18","$6.55B","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/ipgp",
"CLRG","IQ Chaikin U.S. Large Cap ETF","24.2","$255.31M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/clrg",
"CSML","IQ Chaikin U.S. Small Cap ETF","23.99","$237.5M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/csml",
"IQ","iQIYI, Inc.","17.88","$13B","2018","Consumer Services","Consumer Electronics/Video Chains","https://www.nasdaq.com/symbol/iq",
"IRMD","iRadimed Corporation","20.63","$234.55M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/irmd",
"IRTC","iRhythm Technologies, Inc.","75.26","$1.87B","2016","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/irtc",
"IRIX","IRIDEX Corporation","2.63","$36.18M","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/irix",
"IRDM","Iridium Communications Inc","23.11","$3.02B","n/a","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/irdm",
"IRBT","iRobot Corporation","67.32","$1.89B","2005","Consumer Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/irbt",
"IRWD","Ironwood Pharmaceuticals, Inc.","8.82","$1.38B","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/irwd",
"IRCP","IRSA Propiedades Comerciales S.A.","12.89","$406.08M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/ircp",
"SLQD","iShares 0-5 Year Investment Grade Corporate Bond ETF","51.12","$1.92B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/slqd",
